,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_case_all_simulated,p_case_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
26,2019-12-19,78,78,65273999.0,65272875.271,0.0,0.0,691.396,691.396,0.0,1123.729,0.0,0.0,0.0,432.334,0.0,3.0,0.0,20.0,38.343,0.0,0.0,0.0,81.689,163.379,163.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87416131804641e-07,1.7215568483861392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2019-12-20,81,81,65273998.791,65272837.113,0.0,0.0,631.415,631.415,0.0,1161.8870000000002,0.0,0.0,0.209,530.263,0.0,3.0,0.0,20.0,38.157,0.0,0.0,0.0,97.929,195.859,195.859,0.209,0.0,0.0,0.0,0.0,0.0,0.0,5.845666070218008e-07,1.779694857855365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2019-12-21,84,84,65273998.581,65272799.345,0.0,0.0,581.988,581.988,0.0,1199.655,0.0,0.0,0.419,617.2470000000001,0.0,3.0,0.0,20.0,37.766999999999996,0.0,0.0,0.0,86.98400000000001,173.96800000000002,173.96800000000002,0.209,0.0,0.0,0.0,0.0,0.0,0.0,5.785917949110174e-07,1.8372338543223155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2019-12-22,87,87,65273998.372,65272762.231000006,0.0,0.0,553.426,553.426,0.0,1236.769,0.0,0.0,0.628,682.713,0.0,3.0,0.0,20.0,37.115,0.0,0.0,0.0,65.46600000000001,130.932,130.932,0.209,0.0,0.0,0.0,0.0,0.0,0.0,5.686031333407773e-07,1.8937724527845934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2019-12-23,90,90,65273998.161,65272726.089,0.0,0.0,559.642,559.642,0.0,1272.911,0.0,0.0,0.839,712.4300000000001,0.0,3.0,0.0,20.0,36.141,0.0,0.0,0.0,29.716,59.433,59.433,0.209,0.0,0.0,0.0,0.0,0.0,0.0,5.536814201400272e-07,1.948818880164812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2019-12-24,93,93,65273997.88,65272691.304000005,0.0,0.0,562.177,562.177,0.0,1307.696,0.0,0.0,1.12,744.398,0.0,3.0,0.0,20.0,34.784000000000006,0.0,0.0,0.0,31.969,63.936,63.936,0.28200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,5.328921336172339e-07,2.0016791409069425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2019-12-25,96,96,65273997.526,65272657.636,0.0,0.0,561.521,561.521,0.0,1341.364,0.0,0.0,1.474,778.37,0.0,3.0,0.0,20.0,33.668,0.0,0.0,0.0,33.971000000000004,67.941,67.941,0.353,0.0,0.0,0.0,0.0,0.0,0.0,5.157949761938409e-07,2.05271632010326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2019-12-26,99,99,65273997.099,65272624.61,0.0,0.0,558.638,558.638,0.0,1374.3899999999999,0.0,0.0,1.901,813.852,0.0,3.0,0.0,20.0,33.027,0.0,0.0,0.0,35.482,70.965,70.965,0.426,0.0,0.0,0.0,0.0,0.0,0.0,5.059748363488219e-07,2.102658119615945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2019-12-27,102,102,65273996.601,65272591.431,0.0,0.0,555.1410000000001,555.1410000000001,0.0,1407.569,0.0,0.0,2.399,850.028,0.0,3.0,0.0,20.0,33.178,0.0,0.0,0.0,36.176,72.354,72.354,0.499,0.0,0.0,0.0,0.0,0.0,0.0,5.082881656964714e-07,2.1527255464214564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2019-12-28,105,105,65273996.004999995,65272558.19,0.0,0.0,551.309,551.309,0.0,1440.81,0.0,0.0,2.995,886.5060000000001,0.0,3.0,0.0,20.0,33.241,0.0,0.0,0.0,36.477,72.955,72.955,0.596,0.0,0.0,0.0,0.0,0.0,0.0,5.092533326357672e-07,2.2027378251667988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2019-12-29,108,108,65273995.287,65272524.965,0.0,0.0,546.989,546.989,0.0,1474.0349999999999,0.0,0.0,3.713,923.3330000000001,0.0,3.0,0.0,20.0,33.225,0.0,0.0,0.0,36.827,73.65299999999999,73.65299999999999,0.719,0.0,0.0,0.0,0.0,0.0,0.0,5.090082176510668e-07,2.252538692530178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2019-12-30,111,111,65273994.421000004,65272491.808,0.0,0.0,542.067,542.067,0.0,1507.192,0.0,0.0,4.579,960.546,0.0,3.0,0.0,20.0,33.156,0.0,0.0,0.0,37.212999999999994,74.42599999999999,74.42599999999999,0.866,0.0,0.0,0.0,0.0,0.0,0.0,5.079511418613754e-07,2.3020086534134e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2019-12-31,114,114,65273993.383999996,65272458.735,0.0,0.0,536.4879999999999,536.4879999999999,0.0,1540.265,0.0,0.0,5.616,998.162,0.0,3.0,0.0,20.0,33.073,0.0,0.0,0.0,37.616,75.233,75.233,1.036,0.0,0.0,0.0,0.0,0.0,0.0,5.066795868522252e-07,2.351087960823574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-01-01,117,117,65273992.464,65272425.75500001,0.0,0.0,530.676,530.676,0.0,1573.245,0.0,0.0,6.5360000000000005,1036.033,0.0,3.0,0.0,20.0,32.980000000000004,0.0,0.0,0.0,37.871,75.742,75.742,0.922,0.0,0.0,0.0,0.0,0.0,0.0,5.052548305236451e-07,2.4002040335805617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-01-02,120,120,65273991.769,65272392.877,0.0,0.0,524.88,524.88,0.0,1606.123,0.0,0.0,7.231,1074.012,0.0,3.0,0.0,20.0,32.878,0.0,0.0,0.0,37.979,75.959,75.959,0.693,0.0,0.0,0.0,0.0,0.0,0.0,5.036921920809271e-07,2.449508535740184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-01-03,123,123,65273991.455,65272360.118,0.0,0.0,519.383,519.383,0.0,1638.882,0.0,0.0,7.545,1111.953,0.0,3.0,0.0,20.0,32.759,0.0,0.0,0.0,37.942,75.883,75.883,0.315,0.0,0.0,0.0,0.0,0.0,0.0,5.018691100357194e-07,2.4992144093480885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-01-04,126,126,65273991.117,65272327.493999995,0.0,0.0,513.911,513.911,0.0,1671.5059999999999,0.0,0.0,7.883,1149.711,0.0,3.0,0.0,20.0,32.625,0.0,0.0,0.0,37.757999999999996,75.51599999999999,75.51599999999999,0.338,0.0,0.0,0.0,0.0,0.0,0.0,4.998162275924189e-07,2.5486766957731268e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-01-05,129,129,65273990.757,65272295.009,0.0,0.0,508.664,508.664,0.0,1703.991,0.0,0.0,8.243,1187.083,0.0,3.0,0.0,20.0,32.486000000000004,0.0,0.0,0.0,37.371,74.744,74.744,0.359,0.0,0.0,0.0,0.0,0.0,0.0,4.976867451070654e-07,2.5978923309789323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-01-06,132,132,65273990.381,65272262.664,0.0,0.0,503.908,503.908,0.0,1736.336,0.0,0.0,8.619,1223.809,0.0,3.0,0.0,20.0,32.345,0.0,0.0,0.0,36.726,73.452,73.452,0.376,0.0,0.0,0.0,0.0,0.0,0.0,4.955266226440939e-07,2.6468689747867862e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-01-07,135,135,65273989.997999996,65272230.452999994,0.0,0.0,499.974,499.974,0.0,1768.547,0.0,0.0,9.002,1259.571,0.0,3.0,0.0,20.0,32.212,0.0,0.0,0.0,35.763,71.524,71.524,0.384,0.0,0.0,0.0,0.0,0.0,0.0,4.93489060512265e-07,2.695629606913738e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-01-08,138,138,65273989.612,65272198.374,0.0,0.0,497.24699999999996,497.24699999999996,0.0,1800.6260000000002,0.0,0.0,9.388,1293.992,0.0,3.0,0.0,20.0,32.079,0.0,0.0,0.0,34.42,68.84,68.84,0.387,0.0,0.0,0.0,0.0,0.0,0.0,4.914514983791122e-07,2.744183419226298e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-01-09,141,141,65273989.222,65272166.421000004,0.0,0.0,495.492,495.492,0.0,1832.579,0.0,0.0,9.778,1327.307,0.0,3.0,0.0,20.0,31.951999999999998,0.0,0.0,0.0,33.315,66.631,66.631,0.39,0.0,0.0,0.0,0.0,0.0,0.0,4.895058564802849e-07,2.7925380717893085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-01-10,144,144,65273988.827,65272134.585999995,0.0,0.0,494.255,494.255,0.0,1864.4139999999998,0.0,0.0,10.173,1359.987,0.0,3.0,0.0,20.0,31.837000000000003,0.0,0.0,0.0,32.681,65.361,65.361,0.394,0.0,0.0,0.0,0.0,0.0,0.0,4.877440550535333e-07,2.840704288678325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-01-11,147,147,65273988.428,65272102.845,0.0,0.0,492.766,492.766,0.0,1896.155,0.0,0.0,10.572000000000001,1392.818,0.0,3.0,0.0,20.0,31.741,0.0,0.0,0.0,32.83,65.661,65.661,0.398,0.0,0.0,0.0,0.0,0.0,0.0,4.862733343621507e-07,2.8887203699523872e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-01-12,150,150,65273988.026999995,65272071.17,0.0,0.0,491.148,491.148,0.0,1927.83,0.0,0.0,10.973,1425.71,0.0,3.0,0.0,20.0,31.674,0.0,0.0,0.0,32.891999999999996,65.785,65.785,0.401,0.0,0.0,0.0,0.0,0.0,0.0,4.852468947798676e-07,2.9366322756426487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-01-13,153,153,65273987.625,65272039.537999995,0.0,0.0,489.499,489.499,0.0,1959.462,0.0,0.0,11.375,1458.588,0.0,3.0,0.0,20.0,31.631,0.0,0.0,0.0,32.878,65.755,65.755,0.402,0.0,0.0,0.0,0.0,0.0,0.0,4.845881361151175e-07,2.9844767737981442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-01-14,156,156,65273987.224,65272007.93799999,0.0,0.0,487.89,487.89,0.0,1991.0620000000001,0.0,0.0,11.776,1491.398,0.0,3.0,0.0,20.0,31.602,0.0,0.0,0.0,32.81,65.618,65.618,0.402,0.0,0.0,0.0,0.0,0.0,0.0,4.841438579744144e-07,3.0322737803770233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-01-15,159,159,65273986.823,65271976.37200001,0.0,0.0,486.328,486.328,0.0,2022.6280000000002,0.0,0.0,12.177000000000001,1524.123,0.0,3.0,0.0,20.0,31.565,0.0,0.0,0.0,32.726,65.452,65.452,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.835770195191714e-07,3.080018699411809e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-01-16,162,162,65273986.428,65271944.846,0.0,0.0,484.825,484.825,0.0,2054.154,0.0,0.0,12.572,1556.7579999999998,0.0,3.0,0.0,20.0,31.525,0.0,0.0,0.0,32.635,65.27000000000001,65.27000000000001,0.396,0.0,0.0,0.0,0.0,0.0,0.0,4.829642208963815e-07,3.127711530614041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-01-17,165,165,65273986.039,65271913.361,0.0,0.0,483.38800000000003,483.38800000000003,0.0,2085.639,0.0,0.0,12.960999999999999,1589.2910000000002,0.0,3.0,0.0,20.0,31.486,0.0,0.0,0.0,32.533,65.065,65.065,0.389,0.0,0.0,0.0,0.0,0.0,0.0,4.823667422606565e-07,3.1753507419657404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-01-18,168,168,65273985.661000006,65271881.915,0.0,0.0,482.039,482.039,0.0,2117.085,0.0,0.0,13.338999999999999,1621.707,0.0,3.0,0.0,20.0,31.446,0.0,0.0,0.0,32.416,64.83099999999999,64.83099999999999,0.379,0.0,0.0,0.0,0.0,0.0,0.0,4.817539434977141e-07,3.2229470572331684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-01-19,171,171,65273985.296000004,65271850.506,0.0,0.0,480.79999999999995,480.79999999999995,0.0,2148.494,0.0,0.0,13.703999999999999,1653.989,0.0,3.0,0.0,20.0,31.408,0.0,0.0,0.0,32.283,64.566,64.566,0.364,0.0,0.0,0.0,0.0,0.0,0.0,4.811717847098373e-07,3.270506604306908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-01-20,174,174,65273984.944000006,65271819.13600001,0.0,0.0,479.674,479.674,0.0,2179.864,0.0,0.0,14.056000000000001,1686.134,0.0,3.0,0.0,20.0,31.371000000000002,0.0,0.0,0.0,32.145,64.289,64.289,0.352,0.0,0.0,0.0,0.0,0.0,0.0,4.806049458588115e-07,3.3180263191501095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-01-21,177,177,65273984.598,65271787.8,0.0,0.0,478.658,478.658,0.0,2211.2,0.0,0.0,14.402000000000001,1718.14,0.0,3.0,0.0,20.0,31.337,0.0,0.0,0.0,32.007,64.012,64.012,0.34600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.800840670750191e-07,3.3655031380868236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-01-22,180,180,65273984.249,65271756.496,0.0,0.0,477.74,477.74,0.0,2242.504,0.0,0.0,14.751,1750.0140000000001,0.0,3.0,0.0,20.0,31.303000000000004,0.0,0.0,0.0,31.874000000000002,63.748000000000005,63.748000000000005,0.34700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.795631883077456e-07,3.4129263375463845e-05,0.0,0.0,0.9828463180809648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-01-23,183,183,65273983.901,65271725.223,0.0,0.0,476.92100000000005,476.92100000000005,0.0,2273.777,0.0,0.0,15.099,1781.7579999999998,0.0,3.0,0.0,20.0,31.273,0.0,0.0,0.0,31.743,63.486000000000004,63.486000000000004,0.34800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.791035896848468e-07,3.4603035773420854e-05,0.0,0.0,0.9835905737008853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-01-24,186,186,65273983.553,65271693.977,0.0,0.0,476.201,476.201,0.0,2305.023,0.0,0.0,15.447,1813.374,0.0,3.0,0.0,20.0,31.244999999999997,0.0,0.0,0.0,31.617,63.233999999999995,63.233999999999995,0.34800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.786746311358528e-07,3.50763945353657e-05,0.0,0.0,0.9841957492739408,0.0,0.0,0.0,0.071,0.0,0.0,0.071
63,2020-01-25,189,189,65273983.206,65271662.758,0.0,0.0,475.572,475.572,0.0,2336.242,0.0,0.0,15.794,1844.877,0.0,3.0,0.0,20.0,31.220999999999997,0.0,0.0,0.0,31.502000000000002,63.005,63.005,0.34700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4.783069527328946e-07,3.554935498078665e-05,0.0,0.0,0.9847404809366403,0.0,0.0,0.0,0.179,0.0,0.0,0.107
